solar_TIMESTAMP,NZL_HUA_HUA_Aau_Jt_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2012-09-20 05:01:30+00:00,85.8583,1.184,100.0,0.005687825,0.012025,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 05:16:30+00:00,81.4488,1.312,100.0,0.0022751299999999,0.00481,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 05:31:30+00:00,68.55930000000001,1.5425,100.0,0.01137565,0.02405,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 05:46:30+00:00,68.55930000000001,1.773,100.0,0.02047617,0.04329,0.0,0.0,0.536,0.63,0.0,0.0
2012-09-20 06:01:30+00:00,68.55930000000001,2.1935,100.0,1.032367435,2.182595,0.0,0.0,0.536,0.63,26.87380117837457,0.0
2012-09-20 06:16:30+00:00,56.4252,2.6140001,100.0,2.0442587,4.3219,0.0,0.0,0.536,0.63,97.77160223735932,0.0
2012-09-20 06:31:30+00:00,52.151700000000005,3.1365,100.0,5.57711935,11.79095,0.0,0.1,0.536,0.63,168.20038323159295,0.0
2012-09-20 06:46:30+00:00,52.151700000000005,3.6589999,100.0,9.10998,19.26,0.0,0.1,0.536,0.63,237.85840864283824,0.0
2012-09-20 07:01:30+00:00,52.151700000000005,4.214,100.0,22.744678,48.086,0.0,0.0,0.536,0.63,306.4472450867878,0.0
2012-09-20 07:16:30+00:00,52.151700000000005,4.7690001,100.0,36.379376,76.912,0.0,0.0,0.536,0.63,373.6730398804742,0.0
2012-09-20 07:31:30+00:00,36.8318,5.5039999,100.0,51.935873,109.801,0.0,0.0,0.536,0.63,439.2477799846748,0.0
2012-09-20 07:46:30+00:00,32.8733,6.2389998,100.0,67.49237,142.69,0.0,0.0,0.536,0.63,502.8905259276132,0.0
2012-09-20 08:01:30+00:00,32.8733,7.0344999,100.0,82.432075,174.275,0.007,0.0,0.536,0.63,564.3286154233093,0.0
2012-09-20 08:16:30+00:00,19.1975,7.8299999,100.0,97.37178,205.86,0.014,0.0,0.536,0.63,623.2988315285843,0.0
2012-09-20 08:31:30+00:00,15.6492,8.4749999,100.0,102.31936,216.32,0.0385,0.0,0.536,0.63,679.5485303333505,0.0
2012-09-20 08:46:30+00:00,15.6492,9.1199999,100.0,107.26694,226.78,0.063,0.0,0.536,0.63,732.8367233531013,0.0
2012-09-20 09:01:30+00:00,15.6492,9.7750001,96.4472961180778,127.561005,269.685,0.041,0.0,0.536,0.63,782.935109986621,0.0429691
2012-09-20 09:16:30+00:00,8.3133,10.43,93.19937187187432,147.85506999999998,312.59,0.019,0.0,0.536,0.63,829.6290556151756,0.08593821
2012-09-20 09:31:30+00:00,12.376,11.285,85.14699352389816,178.56696,377.52,0.1009999999999999,0.0,0.536,0.63,872.718511153048,0.19868117
2012-09-20 09:46:30+00:00,12.376,12.14,77.99751101211727,209.27885,442.45,0.183,0.0,0.536,0.63,912.0188701095929,0.31142414
2012-09-20 10:01:30+00:00,25.5549,12.4,78.19812957909978,168.508615,356.255,0.48749995,0.0,0.536,0.63,947.3617594913262,0.31390862
2012-09-20 10:16:30+00:00,25.5549,12.66,78.397513113725,127.73838,270.06,0.7919999,0.0,0.536,0.63,978.5957611550672,0.31639311
2012-09-20 10:31:30+00:00,25.5549,12.66,79.04758733892912,150.44710999999998,318.07,0.59749995,0.0,0.536,0.63,1005.5870605221372,0.30687203
2012-09-20 10:46:30+00:00,36.7502,12.66,79.69766224690687,173.15583999999998,366.08,0.403,0.0,0.536,0.63,1028.220019874196,0.29735094
2012-09-20 11:01:30+00:00,48.8842,13.43,73.68203886065763,239.652545,506.665,0.305,0.0,0.536,0.63,1046.3976737745063,0.40536168
2012-09-20 11:16:30+00:00,75.30760000000001,14.2,68.29650786602785,306.14925,647.25,0.207,0.0,0.536,0.63,1060.0421444922013,0.51337242
2012-09-20 11:31:30+00:00,111.3296,14.42,64.60123709998946,263.662025,557.425,0.249,0.0,0.536,0.63,1069.0949756497914,0.58143261
2012-09-20 11:46:30+00:00,145.84820000000002,14.64,61.01587021320758,221.1748,467.6,0.291,0.0,0.536,0.63,1073.517382664405,0.6494928
2012-09-20 12:01:30+00:00,165.8648,15.06,62.483114641673424,257.541405,544.485,0.3655,0.0,0.536,0.63,1073.290418909883,0.6422036
2012-09-20 12:16:30+00:00,170.1384,15.48,63.89657657626957,293.90801,621.37,0.44,0.0,0.536,0.63,1068.4150568878272,0.6349144
2012-09-20 12:31:30+00:00,174.5479,15.175,66.22919229518587,289.97265,613.05,0.66049995,0.0,0.5355,0.63,1058.912184059858,0.58237204
2012-09-20 12:46:30+00:00,190.8137,14.87,68.66676148449494,286.03729,604.73,0.8809999,0.0,0.535,0.63,1044.8225133589287,0.52982968
2012-09-20 13:01:30+00:00,211.9659,14.935,68.38032143147707,240.915455,509.335,0.87899995,0.0,0.535,0.63,1026.2064087631545,0.53691757
2012-09-20 13:16:30+00:00,211.9659,15.0,68.0967560307514,195.79362,413.94,0.877,0.0,0.535,0.63,1003.1436266793554,0.54400545
2012-09-20 13:31:30+00:00,228.921,14.665,69.16663620222887,165.78177,350.49,0.8775,0.0,0.535,0.63,975.7329742443914,0.51452734
2012-09-20 13:46:30+00:00,228.921,14.33,70.29676158962272,135.76992,287.04,0.878,0.0,0.535,0.63,944.0918860082464,0.48504922
2012-09-20 14:01:30+00:00,246.1969,14.245,69.27188837116223,127.97488,270.56,0.7904999500000001,0.0,0.535,0.6295000000000001,908.3559208122524,0.49903093
2012-09-20 14:16:30+00:00,273.1949,14.16,68.23648941729988,120.17984,254.08,0.7029999,0.0,0.535,0.629,868.6781810183362,0.51301265
2012-09-20 14:31:30+00:00,278.0616,13.78,70.01338683717324,94.17903,199.11,0.5859999499999999,0.0,0.535,0.629,825.2286565771335,0.47251296
2012-09-20 14:46:30+00:00,278.0616,13.4,71.89677742153049,68.17822,144.14,0.469,0.0,0.535,0.629,778.1934967453222,0.43201327
