solar_TIMESTAMP,USA_PJS_P04_AMB_Jmo_Js_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2014-09-06 11:42:00+00:00,940.6189746,19.72,59.11,648.01,1370.0,2.847,0.0,0.0806366071428571,0.0585812499999999,1184.4565502159076,0.939675978747058
2014-09-06 11:57:00+00:00,1037.242805688,19.85,56.3,588.4119999999999,1244.0,3.506,0.0,0.0808848214285714,0.058209375,1187.251728074306,1.0123792313137114
2014-09-06 12:12:00+00:00,1070.671070088,19.51,57.64,456.445,965.0,3.095,0.0,0.0810089285714285,0.058209375,1185.3211521761718,0.9608473121418216
2014-09-06 12:27:00+00:00,1104.728698224,19.57,58.2,496.177,1049.0,2.675,0.0,0.08138125,0.058209375,1178.6730930792394,0.9516856842753548
2014-09-06 12:42:00+00:00,1139.42782224,20.16,56.09,690.5799999999999,1460.0,2.987,0.0,0.0816116071428571,0.0589531249999999,1167.3360318301202,1.036952741702292
2014-09-06 12:57:00+00:00,1139.42782224,20.35,55.53,690.5799999999999,1460.0,2.095,0.0,0.0820723214285714,0.0589531249999999,1151.358537950258,1.0625772628145884
2014-09-06 13:12:00+00:00,1139.42782224,20.63,54.83,672.606,1422.0,3.127,0.0,0.0823205357142857,0.05858125,1130.8090613593756,1.0981013587406945
2014-09-06 13:27:00+00:00,1139.42782224,20.46,54.31,648.956,1372.0,3.405,0.0,0.0826571428571428,0.0589531249999999,1105.7756391280086,1.0991640254837034
2014-09-06 13:42:00+00:00,1139.42782224,20.81,52.95,639.9689999999999,1353.0,2.987,0.0,0.0832419642857142,0.05858125,1076.3655183152496,1.1565492404446198
2014-09-06 13:57:00+00:00,1104.728698224,21.28,51.54,617.7379999999999,1306.0,2.915,0.0,0.0832683928571428,0.05858125,1042.7046965075474,1.2260873541855637
2014-09-06 14:12:00+00:00,1070.671070088,21.03,51.66,604.967,1279.0,3.621,0.0,0.0830380357142857,0.0585812499999999,1004.9373820270785,1.204435561785966
2014-09-06 14:27:00+00:00,972.22794336,20.79,52.71,575.168,1216.0,3.392,0.0,0.0831442857142857,0.057916875,963.2253761220248,1.1610193577668395
2014-09-06 14:42:00+00:00,909.594662976,21.23,52.02,557.194,1178.0,3.144,0.0,0.0833746428571428,0.058209375,917.747379785724,1.2102276240174414
2014-09-06 14:57:00+00:00,909.594662976,21.01,52.59,516.9889999999999,1093.0,3.219,0.0,0.08349875,0.058209375,868.6982281741911,1.179813702340569
2014-09-06 15:12:00+00:00,909.594662976,21.16,52.68,482.46,1020.0,3.286,0.0,0.0832505357142857,0.057916875,816.2880559020654,1.1884667320218014
2014-09-06 15:27:00+00:00,879.144699672,20.81,53.94,404.415,855.0,3.187,0.0,0.0831264285714285,0.057916875,760.7413967928871,1.1322137728986017
2014-09-06 15:42:00+00:00,849.259161576,20.92,53.25,431.849,913.0,2.777,0.0,0.0830201785714285,0.057916875,702.2962219404237,1.1569739426704075
2014-09-06 15:57:00+00:00,791.1430711200001,20.43,54.33,394.009,833.0,3.312,0.0,0.0826835714285714,0.057545,641.2029202023356,1.0966514578446742
2014-09-06 16:12:00+00:00,791.1430711200001,20.33,54.43,367.994,778.0,3.472,0.0,0.0826835714285714,0.057545,577.7232254937109,1.0875172509172502
2014-09-06 16:27:00+00:00,655.094295288,20.06,55.09,349.547,739.0,3.459,0.0,0.0820808928571428,0.057545,512.1290954763191,1.0540287901578471
2014-09-06 16:42:00+00:00,629.403603768,19.96,55.2,308.1122,651.4,3.21,0.0,0.0819389285714285,0.057173125,444.70154644716746,1.044958963353838
2014-09-06 16:57:00+00:00,629.403603768,19.87,56.03,270.2722,571.4,2.749,0.0,0.0818505357142857,0.057173125,375.72944941812887,1.019897488978184
2014-09-06 17:12:00+00:00,604.2018446640001,19.65,56.01,197.2883,417.1,2.586,0.0,0.0814782142857142,0.057173125,305.5082925445094,1.0065340612839857
2014-09-06 17:27:00+00:00,508.151204784,19.33,57.11,166.54330000000002,352.1,2.601,0.0,0.0813541071428571,0.05680125,234.3389152041556,0.962040716168211
2014-09-06 17:42:00+00:00,462.89511684000007,18.95,58.37,113.4254,239.8,2.497,0.0,0.0809817857142857,0.057173125,162.5262191506698,0.9119252368162732
2014-09-06 17:57:00+00:00,462.89511684000007,17.93,60.53,32.13089,67.93,2.752,0.0,0.0808576785714285,0.05650875,90.37786226285864,0.8110778450390439
2014-09-06 18:12:00+00:00,398.354144472,17.33,62.09,1.489004,3.148,2.083,0.0,0.0807335714285714,0.05650875,18.20294048561409,0.7500969967957323
2014-09-06 18:27:00+00:00,318.364745112,17.27,62.63,0.0,0.0,1.963,0.0,0.0802371428571428,0.05650875,0.0,0.7366128707640747
2014-09-06 18:42:00+00:00,280.91313216000003,17.18,65.04,0.0,0.0,2.281,0.0,0.0800067857142857,0.05650875,0.0,0.6851963121127065
2014-09-06 18:57:00+00:00,262.816040736,17.16,67.76,0.0,0.0,1.894,0.0,0.0797585714285714,0.05650875,0.0,0.6310865422718512
2014-09-06 19:12:00+00:00,245.136736872,16.9,68.69,0.0,0.0,2.282,0.0,0.0796523214285714,0.05650875,0.0,0.6028689159321132
2014-09-06 19:27:00+00:00,211.03145676,16.78,70.2,0.0,0.0,1.969,0.0,0.0795282142857142,0.05650875,0.0,0.5694417112845591
2014-09-06 19:42:00+00:00,194.607268776,16.73,69.43,0.0,0.0,2.42,0.0,0.0789433928571428,0.05650875,0.0,0.5823038878139206
2014-09-06 19:57:00+00:00,147.87863308800002,16.57,66.96,0.0,0.0,2.979,0.0,0.0789255357142857,0.05650875,0.0,0.6229864570397898
2014-09-06 20:12:00+00:00,147.87863308800002,16.53,68.18,0.0,0.0,2.112,0.0,0.0785889285714285,0.05650875,0.0,0.5984583785877884
2014-09-06 20:27:00+00:00,147.87863308800002,16.37,67.88,0.0,0.0,2.22,0.0,0.0784826785714285,0.05650875,0.0,0.5979800092335064
