solar_TIMESTAMP,CAN_TUR_P39_PRE_Pst_Js_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2010-08-19 06:06:00+00:00,0.0,19.22,94.8,64.64,114.1,1.388,0.0,0.053125,0.066,208.76176311288077,0.1158421922680279
2010-08-19 06:36:00+00:00,0.0,19.8,91.6,142.45000000000002,284.5,1.384,0.0,0.053125,0.066,333.4928791463807,0.1939970129572259
2010-08-19 07:06:00+00:00,42.74987541544555,20.25,89.5,236.25,477.2,1.663,0.0,0.053125,0.066,455.9243030855645,0.2493449291424716
2010-08-19 07:36:00+00:00,348.1952539620324,20.9,86.7,338.15000000000003,680.1,1.897,0.0,0.053125,0.066,573.9605304101588,0.3287454159348115
2010-08-19 08:06:00+00:00,1115.8272069653735,22.06,80.2999999999999,439.25,891.0,1.564,0.0,0.053125,0.066,685.5812824032021,0.5227623042954264
2010-08-19 08:36:00+00:00,1790.0580010286562,22.99,75.3999999999999,527.4499999999999,1073.0,1.934,0.0,0.053125,0.066,788.876084783796,0.6907037462414469
2010-08-19 09:06:00+00:00,2072.5555122928986,23.73,68.0499999999998,615.25,1265.0,2.545,0.0,0.053125,0.066,882.0769669913459,0.938020279004148
2010-08-19 09:36:00+00:00,2220.0542829644364,24.41,62.6799999999998,697.15,1452.0,3.009,0.0,0.0527916666666667,0.066,963.5887224462786,1.1412985907314348
2010-08-19 10:06:00+00:00,2220.0542829644364,25.01,59.8199999999998,760.05,1600.0,3.229,0.0,0.0527916666666667,0.066,1032.0162118566705,1.2735714390326365
2010-08-19 10:36:00+00:00,2270.161149768845,25.35,57.6299999999998,810.05,1720.0,3.333,0.0,0.0527916666666667,0.066,1086.1882422502322,1.3704248026085322
2010-08-19 11:06:00+00:00,2270.161149768845,25.55,59.0799999999998,850.05,1812.0,3.48,0.0,0.0527916666666667,0.067,1125.1776130193498,1.339332610827429
2010-08-19 11:36:00+00:00,2170.419294699785,25.53,61.5499999999998,869.05,1851.0,4.209,0.0,0.0527916666666667,0.067,1148.3169858706797,1.2569960368051394
2010-08-19 12:06:00+00:00,2270.161149768845,26.15,58.3199999999998,886.05,1871.0,3.667,0.0,0.0524583333333333,0.067,1155.2103070476628,1.4135194027752325
2010-08-19 12:36:00+00:00,2320.742350853771,26.36,58.3399999999998,878.05,1850.0,3.62,0.0,0.0524583333333333,0.067,1145.7395863198371,1.4304549464750995
2010-08-19 13:06:00+00:00,2320.742350853771,26.52,57.9199999999998,868.05,1826.0,3.931,0.0,0.0524583333333333,0.067,1120.066916705381,1.4585610041922843
2010-08-19 13:36:00+00:00,2220.0542829644364,26.61,57.3099999999998,831.05,1731.0,3.622,0.0,0.052125,0.067,1078.6317003516072,1.4875640922830644
2010-08-19 14:06:00+00:00,1929.2419711403184,26.71,62.8599999999999,778.05,1613.0,3.761,0.0,0.052125,0.067,1022.1431280484328,1.3018048511658469
2010-08-19 14:36:00+00:00,1835.996974420072,26.67,64.2999999999999,758.05,1541.0,4.091,0.0,0.0518958333333333,0.067,951.5680410878962,1.2483910682036037
2010-08-19 15:06:00+00:00,1790.0580010286562,26.77,63.5699999999999,682.8499999999999,1362.0,3.539,0.0,0.0518958333333333,0.067,868.114383217563,1.2814300421175693
2010-08-19 15:36:00+00:00,1699.538505674295,26.78,63.0999999999999,539.4499999999999,1056.0,3.412,0.0,0.0518958333333333,0.067,773.2105259154141,1.2987253551290912
2010-08-19 16:06:00+00:00,1523.891041928725,26.25,64.9699999999999,439.45,843.0,3.765,0.0,0.0518958333333333,0.067,668.4808208452115,1.1950266274211223
2010-08-19 16:36:00+00:00,1396.8333671416583,25.75,67.2199999999999,288.85,542.1,3.266,0.0,0.0518958333333333,0.067,555.7177979271859,1.0857004040029905
2010-08-19 17:06:00+00:00,1002.0072864141245,25.15,69.4799999999999,153.65,303.0,2.501,0.0,0.0518958333333333,0.067,436.8514848722459,0.9754776980355256
2010-08-19 17:36:00+00:00,786.351516539254,25.19,69.2099999999999,197.65,351.9,2.394,0.0,0.0518958333333333,0.067,313.91637329717184,0.986451914493372
2010-08-19 18:06:00+00:00,619.0774871798267,24.64,73.1999999999999,79.0,151.8,1.757,0.0,0.0518958333333333,0.068,189.016596819826,0.8309289568066429
2010-08-19 18:36:00+00:00,433.95708887210793,23.95,78.6999999999999,37.56,65.9400000000001,1.393,0.0,0.0522291666666667,0.068,64.28991713774764,0.633669492118512
2010-08-19 19:06:00+00:00,293.73068873884046,23.47,88.5,18.597,26.5300000000001,1.086,0.0,0.0522291666666667,0.067,0.0,0.3323846164201569
2010-08-19 19:36:00+00:00,241.5816204732016,23.01,91.6,5.626,0.0,1.346,0.0,0.0522291666666667,0.068,0.0,0.2361355362373549
2010-08-19 20:06:00+00:00,191.9239777618997,22.84,93.7,5.604000000000001,0.0,1.339,0.0,0.0522291666666667,0.068,0.0,0.1752889290548331
2010-08-19 20:36:00+00:00,145.00459375653375,22.37,96.4,5.240000000000001,0.0,1.448,0.0,0.0522291666666667,0.067,0.0,0.0973493242450849
2010-08-19 21:06:00+00:00,122.67957179897088,21.89,99.2,4.82,0.0,1.147,0.0,0.0522291666666667,0.067,0.0,0.0210100505069048
2010-08-19 21:36:00+00:00,122.67957179897088,21.68,100.0,5.644000000000001,0.0,1.276,0.0,0.0522291666666667,0.067,0.0,0.0
2010-08-19 22:06:00+00:00,101.19105291234716,21.68,98.0,5.609000000000001,0.0,2.054,0.0,0.0522291666666667,0.067,0.0,0.051855995625841
2010-08-19 22:36:00+00:00,80.62210514171642,21.39,96.0,5.683000000000001,0.0,1.997,0.0,0.0522291666666667,0.067,0.0,0.1018884114102176
2010-08-19 23:06:00+00:00,61.08643772064015,20.87,97.2,6.029000000000001,0.0,2.147,0.0,0.0522291666666667,0.067,0.0,0.0690820304816224
2010-08-19 23:36:00+00:00,61.08643772064015,20.47,92.7999999999999,6.131000000000001,0.0,1.81,0.0,0.0522291666666667,0.067,0.0,0.1733172205757953
2010-08-20 00:06:16+00:00,61.08643772064015,20.18,80.3999999999998,6.716000000000001,0.0,1.907,0.0,0.0522291666666667,0.067,0.0,0.4634347224542781
2010-08-20 00:36:16+00:00,61.08643772064015,19.64,82.7999999999998,6.214,0.0,1.854,0.0,0.0522291666666667,0.067,0.0,0.3933085405395795
2010-08-20 01:06:16+00:00,42.74987541544555,19.21,86.2999999999998,7.572000000000001,0.0,2.053,0.0,0.0522291666666667,0.067,0.0,0.3050095958182324
2010-08-20 01:36:16+00:00,42.74987541544555,18.84,87.4999999999999,7.380000000000001,0.0,2.217,0.0,0.0525625,0.068,0.0,0.2719443407049648
2010-08-20 02:06:16+00:00,25.879679041260605,18.36,89.8999999999999,6.822000000000001,0.0,1.98,0.0,0.0525625,0.067,0.0,0.2132285945683578
2010-08-20 02:36:16+00:00,10.99476763615029,17.84,91.4999999999999,6.315,0.0,1.726,0.0,0.0525625,0.067,0.0,0.1736818751269102
2010-08-20 03:06:16+00:00,10.99476763615029,17.51,89.8999999999999,6.357000000000001,0.0,1.467,0.0,0.0527916666666667,0.067,0.0,0.2021262283959026
