,,,,,mean_pi_width,mean_pi_width,mean_coverage_eps,mean_coverage_eps,winkler_score_norm,winkler_score_norm
,,,,,mean,std,mean,std,mean,std
dataset,ts_instance,fc_model,uc_model,alpha,,,,,,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,spic,0.05,159.29579684926364,0.629023535797871,0.014857702500288056,0.00047593938362302656,2.322135434225791,0.00538582865775907
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,spic,0.1,112.2017840578721,0.24894054796574966,0.019777624150247742,0.001350774753738147,1.8153865639691242,0.0020475686181587105
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-forest,spic,0.15,90.37908441743787,0.15261279327200158,0.025187233552252542,4.989200390507976e-05,1.5707960905416314,0.003063653588205581
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,adaptiveci,0.05,205.69901139226045,,-0.00020739716557209575,,3.284142548425768,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,adaptiveci,0.1,168.22999979243986,,-0.0005012098167992141,,2.7223447182287903,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,adaptiveci,0.15,146.42760944762034,,-0.0007086069823712127,,2.437763889726408,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,default-conformal,0.05,256.30991225402494,,-0.010145178015900466,,5.3911464805333305,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,default-conformal,0.1,176.86744523204985,,-0.024783961285862438,,4.021875347442973,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,default-conformal,0.15,142.90635995868163,,-0.02481852748012439,,3.337747541067602,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,enbpi,0.05,211.6368974391622,,-0.04920497753197377,,4.649227350569406,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,enbpi,0.1,170.3915898273282,,-0.05390597995160737,,3.688286644668018,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,enbpi,0.15,140.8216639329849,,-0.05515036294503975,,3.0896884302351753,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,knn,0.05,179.1979466298852,,-0.06579675077773932,,4.490229187281355,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,knn,0.1,147.92022748525852,,-0.06609056342896644,,3.2925557835692185,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,knn,0.15,118.37604144696665,,-0.08729692360871069,,2.8681481199423593,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,nexcp,0.05,266.3361473957066,,-0.001503629450397545,,4.249993508598921,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,nexcp,0.1,204.31235487305332,,-0.0008468717594193043,,3.4258474416442013,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,nexcp,0.15,167.58694261734848,,-0.004338057379882493,,2.9735976303451697,
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,ourmodel,0.05,98.62754202754367,6.083050313075688,0.002147424818527463,0.010656440343624675,1.7074056934003994,0.028238080088237777
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,ourmodel,0.1,79.4209500741184,4.2550897596887,0.01816453508468721,0.013864412472517832,1.3292453679016043,0.023861454781986514
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,ourmodel,0.15,67.9172923073734,3.6118140188333316,0.03303664016591773,0.017218524955749073,1.1373952447890554,0.02987435517025767
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,spic,0.05,146.90014406054894,0.24922826184581093,0.011393881783615625,0.0012064687100710274,2.356057473569116,0.01770068925478172
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,spic,0.1,111.28975286098076,0.43387882552549956,0.030349118562046307,0.001086225811439347,1.8577596010922113,0.0093023912693872
air-10,air-10PRSA_Data_Changping_20130301-20170228,darts-lightgbm,spic,0.15,91.14838394597868,0.17406799262160183,0.045480470100241976,0.002384921286462996,1.5947808785269915,0.00801874815099664
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,default-conformal,0.05,208.4968691468857,,0.019581749049429623,,3.5199988620465823,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,default-conformal,0.1,148.53065341160942,,0.034151399930867604,,2.5564128825957044,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,default-conformal,0.15,121.37865526289664,,0.033252678880055314,,2.1344025298554516,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,enbpi,0.05,142.57065008224768,,-0.03442792948496369,,3.103364767797485,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,enbpi,0.1,110.36008752723322,,-0.044227445558244066,,2.4103484578911765,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,enbpi,0.15,92.16646881775999,,-0.04823712409263739,,2.0681458026986563,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,knn,0.05,125.90448032561116,,-0.04592118907708258,,2.9601273839631377,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,knn,0.1,104.24594798913844,,-0.05494296577946764,,2.181886665519833,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,knn,0.15,84.08608074662926,,-0.06577946768060841,,1.8989896081253501,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,nexcp,0.05,179.36527133161042,,-0.0066021431040442086,,3.1268927625738114,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,nexcp,0.1,134.38748429730572,,-0.0036985827860352705,,2.419194365275822,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,nexcp,0.15,111.73923435764992,,-0.0022640857241617296,,2.065893251725938,
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,ourmodel,0.05,106.03399282419842,3.5405733277902858,0.00888783269961975,0.004628071673901868,1.7174364027753652,0.01343001314208588
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,ourmodel,0.1,82.79923871896113,2.721425419626641,0.023867957137919116,0.005738664955369538,1.3406101116244338,0.008619108693898342
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,ourmodel,0.15,70.0597902669488,1.8770695651130767,0.03526183892153473,0.006668146115045903,1.1500031061674556,0.014140118029900114
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,spic,0.05,115.27168555264649,0.35092407550090204,0.014223988938817836,0.0007160849691586633,1.7171314042060764,0.007156016262397927
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,spic,0.1,91.48751190439707,0.25551558765769644,0.029722606291047365,0.001140717143315245,1.3763373605598923,0.0025572069390322125
air-10,air-10PRSA_Data_Changping_20130301-20170228,reg-ridge,spic,0.15,77.96845438807554,0.13255022181807743,0.041505357760110634,0.002057704960212689,1.1957281358135181,0.006295233349813507
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,default-conformal,0.05,241.04999480427156,,-0.020947113722779173,,5.291504484907468,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,default-conformal,0.1,175.69999856451082,,-0.03212927756653991,,3.9862245052497265,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,default-conformal,0.15,147.58999693158833,,-0.0304355340477013,,3.3233808727490923,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,enbpi,0.05,209.7216673194023,,-0.05335292084341518,,4.2770741855116565,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,enbpi,0.1,170.21581984967293,,-0.06064638783269957,,3.579033268849963,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,enbpi,0.15,144.58107581832522,,-0.0650017283097131,,3.1882377085791025,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,knn,0.05,167.2358056205884,,-0.08048738333909437,,4.5681685088793085,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,knn,0.1,150.49168971035664,,-0.07084341513999312,,3.235331476342179,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,knn,0.15,138.40026831635134,,-0.05575527134462491,,2.6929624938344996,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,nexcp,0.05,273.2517010385175,,-0.0072070515036294774,,4.241210975406406,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,nexcp,0.1,208.2762660281369,,-0.007414448669201462,,3.4410023020517313,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,nexcp,0.15,171.0262051498935,,-0.003992395437262403,,2.994226844838272,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,ourmodel,0.05,115.00642829628663,15.528872404858046,0.012322848254407201,0.01143757186942682,1.8794386883542238,0.11591363607362466
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,ourmodel,0.1,90.78194273362882,11.570790032796374,0.03747839612858622,0.016645171901580567,1.4323952530871358,0.08604182930261392
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,ourmodel,0.15,76.60154849321752,8.962056400364899,0.06122969236087106,0.020343261933700472,1.2073530754209774,0.0650799506910281
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,spic,0.05,124.45027201828668,0.057431104364714464,-0.006285286323309126,0.0005555738426657559,2.1610278981338182,0.004033458290474394
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,spic,0.1,97.42683295113574,0.24594548436477887,0.0033586818757921633,0.0009479480741965731,1.7138941837532113,0.0019951280008552166
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-forest,spic,0.15,82.26363592854375,0.17873284743155324,0.015163037216269113,0.0008167673049174898,1.470900547772315,0.0034028770476303297
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,adaptiveci,0.05,199.0185244375968,,0.00031109574835815057,,3.043089775282779,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,adaptiveci,0.1,158.3355849233417,,0.00036294503975112247,,2.569110408547722,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,adaptiveci,0.15,134.00402173887187,,0.0005012098167992141,,2.3592844318003436,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,default-conformal,0.05,235.7086538442723,,-0.016021431040442444,,5.200394398591076,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,default-conformal,0.1,163.59917390021,,-0.01959903214656064,,3.845543221396391,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,default-conformal,0.15,130.49691751890845,,-0.01747321119944692,,3.154069405202214,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,enbpi,0.05,194.3430694829952,,-0.05300725890079498,,4.1429327365520905,
air-10,air-10PRSA_Data_Dingling_20130301-20170228,darts-lightgbm,enbpi,0.1,153.5534535957545,,-0.05632561354994811,,3.3268035230879676,
